ts	phase	decision	why	evidence	result
2026-09-13T11:53:59Z	frame	Partitioned the audit across Windows, protocol, storage, and runtime	Keep concurrent edits separate and verify each subsystem with regressions	docs/hardening-plan.md	open
2026-09-13T11:59:38Z	runtime	Reproduced 11 runtime/configuration failures and added fixes	Reject bad configuration; clear stale receiver state; expose failed storage in health checks	tests/test_runtime_resilience.py	39 focused tests passed
2026-09-13T11:59:38Z	design	Selected bounded packet queue with one ordered storage worker	SQLite lock waits must not block reception or HTTP; explicit overflow counters bound memory use	src/radio_logger/service.py	Integrated runtime tests pending
2026-09-13T12:03:54Z	review	Closed CLI writer lock bypass and capped receiver instance tracking at 64	Independent review reproduced writes under a live logger lock and found unbounded sender state	tests/test_runtime_resilience.py	Regression tests passed
2026-09-13T12:03:54Z	review	Removed the shutdown queue deadline	A healthy slow disk must not cause deliberate packet loss on normal Ctrl+C	tests/test_service_lifecycle.py	Queue drain and close tests passed
2026-09-13T12:03:55Z	installation	Verified a fresh wheel outside the source checkout	Prove installed resources and real socket-to-storage behavior rather than relying on source imports	scripts/verify-install.py	202 observations; duplicates, exports, backup, second process exclusion, and restart passed
2026-09-13T12:04:27Z	verification	Integrated tests passed and browser recovery was observed	Exercise failure paths and verify old rows remain after restart	tests/test_runtime_resilience.py; tests/test_service_lifecycle.py; scripts/verify-install.py	240 passed; 6 native Windows tests await CI; browser disconnect and reconnect passed
2026-09-13T12:08:20Z	verification	Passed the complete Windows and Linux CI matrix	Native command processing and installed packages must work on the target operating-system family	https://github.com/EdmundLimBoEn/japan-hour-logger-v1/actions/runs/34756163407	All 6 jobs passed on Python 3.12, 3.13, and 3.14; local final count 242 passed and 6 Windows-only skips
2026-09-13T12:09:55Z	regression	Prevented duplicate rows when Status arrives between identical Decode packets	Dial frequency comes from a separate packet and must not change network duplicate identity	tests/test_runtime_resilience.py	Reproduced two rows before fix; 49 focused tests passed after fix
2026-09-13T12:14:33Z	review	Protected upgrades of older installations and rejected configured port zero	Setup must acquire both old and current logger locks before replacing packages; deployment endpoints need known ports	tests/test_windows_launcher.py; tests/test_runtime_resilience.py	247 local tests passed; 6 native Windows cases pending final CI
2026-09-13T12:22:55Z	review	Closed Windows dependency-file locks and preserved effective backup configuration	Setup must release imported DLLs before pip; restored configuration must retain overrides without resolving portable paths	tests/test_windows_launcher.py; tests/test_windows_backup.py; tests/test_api_config_regressions.py	251 local tests passed; fresh-process setup exclusion and new-root restore passed; native CI rerun required
